中医百科

Asian toddalia root (bark) - 飞龙掌血
six climatic factors - 六气
five zang viscera - 五脏
visceral manifestations - 脏象
zang-fu viscera - 脏腑
seven emotions - 七情
	traditional Chinese medicine - 中医学
Chinese materia medica - 中药学
integration of traditional and western medicine - 中西医结合
traditional Chinese medicine and pharmacology - 中医药学
illness of child viscera affecting the mother one - 子病及母
illness of mother viscera affecting the child one - 母病及子
wood generating fire - 木生火
fire generating earth - 火生土
earth generating metal - 土生金
metal generating water - 金生水
water generating wood - 水生木
mutual restriction of five phases - 五行相克
over-restriction of five phases - 五行相乘
doctrine of five evolutive phases and six climatic factors - 运气学说
five evolutive phases - 五运
vitamins               - 维生素
distill               - 蒸露
disharmony               - 不和
distillate               - 药露
dissipate               - 发散
distillate               - 露剂
disharmony               - 失调
disharmony               - 逆调
distilled water              - 蒸馏水
distinct               - 晰
dissipate cold              - 散寒
distorted vision              - 目瞀
distress               - 急迫
dissipate heat              - 散热
distress               - 逼迫
ditch               - 沟
diuresis               - 利尿
divergence               - 别
dissipate               - 涣
dissipate               - 涣散
dizziness               - 头晕目眩
disintegrate               - 破削
doctrine               - 说
dislocate               - 脱
dislocation               - 脱位
dislocation               - 脱臼
donkey               - 驴
dragon horn              - 龙角
oven-dry               - 烘干
onset               - 起病
onychium               - 小叶金花草
organelle               - 细胞器
organs               - 脏腑
osteogenesis imperfecta              - 成骨不全
ovarian cyst              - 卵巢囊肿
osteomalacia               - 软骨病
osteomyelitis               - 骨髓炎
open heart surgery             - 开心外科手术
osteoporosis               - 骨质疏松症
ovaries               - 卵巢
other               - 别
otitis externa              - 外耳炎
oven               - 灶
otolith               - 石首鱼头石
orifice               - 空窍
otolith               - 鱼脑石
obstruction               - 障
old woman              - 婆
old               - 旧
optic neuritis              - 视神经炎
omphalia               - 雷丸
crimson               - 绛
court               - 廷
crush               - 打碎
crush               - 碓
crush               - 粉碎
courtyard               - 庭
cover               - 奄
cover               - 核
cover               - 盖
crust               - 疕
cover               - 蔽
cripple               - 躄
cover               - 被
cry               - 啼
crack               - 皲
cracked               - 碎
countenance               - 容
cotton               - 棉
cramp               - 抽筋
crown of thorns             - 铁海棠
cramp               - 转筋
crane               - 鹤
crucible               - 坩
crucible               - 坩埚
country               - 国
crataegus               - 朹
cordyceps               - 冬虫草
continuous               - 绵
convulsion               - 抽搐
cordyceps               - 夏草冬虫
correspond               - 相应
convulsion               - 抽搦
continuous               - 绵绵不休
cordyceps               - 虫草
convulsion               - 搐
correspondence               - 相应
continuous               - 绵绵不已
corridor               - 廊
continuous               - 绵绵不断
convulsion               - 搐搦
core               - 心
continuous               - 绵绵不绝
corrugator               - 皱肌
continuous               - 缘缘
cook               - 炊
coriander               - 胡荽
continuous               - 连绵不休
coriander               - 芫荽
cooked               - 熟
wedelia               - 蟛蜞菊
lumbago               - 腰痛
louse               - 虱
loss               - 减退
love               - 爱
low grade              - 下品
low               - 低
lumbar vertebrae              - 腰椎骨
loss of sight             - 失明
Low Position              - 低位
lotus seed              - 石莲肉
lower extreme              - 下极
lotus               - 荷
look               - 望
lotus flower              - 荷花
lotus               - 莲
lophatherum               - 淡竹叶
luculia               - 野丁香根
lophatherum               - 竹叶麦冬
lophatherum               - 竹叶麦冬青
lophatherum               - 野麦冬
lower extremity              - 下肢
lower limb              - 下肢
lumbar spine              - 腰脊
low voice              - 声低
low-lying               - 卑
litchee               - 勒枝
litchee               - 火山荔
litchee               - 离支
